Bom Futuro (23),1,Sem Etiqueta (18),1,
Holambra / Usar Pouco (22),1, @M (8),1,
 @M (8),1, @M (8),1,
Recuperado (0),1,Holambra / Usar Pouco (22),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
 @M (8),1,Bom Futuro (34),1,
Cottonsul (25),1, @M (8),1,
Bom Futuro (23),1, @M (8),1,
Holambra / Usar Pouco (22),1,Sem Etiqueta (18),1,
Recuperado (0),1,Sem Etiqueta (18),1,
Bom Futuro (34),1,Da Serra (10),1,
 @M (8),1,Bom Futuro (34),1,
 @M (8),1,Cottonsul (25),1,
Recuperado (0),1, @M (8),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
Sem Etiqueta (18),1,Recuperado (0),1,
 @M (8),1,Recuperado (0),1,
Bom Futuro (23),1,Sem Etiqueta (18),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1,Bom Futuro (34),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Da Serra (10),1,Bom Futuro (34),1,
Sem Etiqueta (18),1,Bom Futuro (23),1,
Da Serra (10),1, @M (8),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
Cottonsul (25),1,Bom Futuro (23),1,
Sem Etiqueta (18),1, @M (8),1,
Sem Etiqueta (18),1,Cottonsul (25),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1,Recuperado (0),1,
Bom Futuro (23),1,Sem Etiqueta (18),1,
 @M (8),1,Recuperado (0),1,
 @M (8),1,Da Serra (10),1,
Bom Futuro (14),Bom Futuro (28), @M (8),1,
2,2, @M (8),1,
2,2,Sem Etiqueta (18),1,
Bom Futuro (14),Bom Futuro (28),Sem Etiqueta (18),1,
2,2, @M (8),1,
2,2, @M (8),1,
Bom Futuro (28),Bom Futuro (28),Sem Etiqueta (18),1,
2,2, @M (8),1,
2,2,Cottonsul (25),1,
Bom Futuro (28),Bom Futuro (28),Bom Futuro (23),1,
2,2,Sem Etiqueta (18),1,
2,2,Holambra / Usar Pouco (22),1,
Bom Futuro (14),Bom Futuro (28),Sem Etiqueta (18),1,
2,2,Bom Futuro (23),1,
2,2, @M (8),1,
Bom Futuro (14),Bom Futuro (28), @M (8),1,
2,2,Da Serra (10),1,
2,2, @M (8),1,
Bom Futuro (28),Bom Futuro (14),Holambra / Usar Pouco (22),1,
2,2,Recuperado (0),1,
2,2, @M (8),1,
Bom Futuro (28),Bom Futuro (28),Sem Etiqueta (18),1,
2,2,Sem Etiqueta (18),1,
2,2, @M (8),1,
Bom Futuro (28),Bom Futuro (28),Sem Etiqueta (18),1,
2,2, @M (8),1,
2,2,Cottonsul (25),1,
Bom Futuro (28),Bom Futuro (28),Da Serra (10),1,
2,2,Sem Etiqueta (18),1,
2,2,Cottonsul (25),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Cottonsul (25),1,Da Serra (10),1,
 @M (8),1,Holambra / Usar Pouco (22),1,
Cottonsul (25),1, @M (8),1,
Recuperado (0),1,Bom Futuro (23),1,
Sem Etiqueta (18),1,Cottonsul (25),1,
Da Serra (10),1,Sem Etiqueta (18),1,
 @M (8),1,Cottonsul (25),1,
Sem Etiqueta (18),1,Holambra / Usar Pouco (22),1,
Sem Etiqueta (18),1, @M (8),1,
Sem Etiqueta (18),1,Cottonsul (25),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Sem Etiqueta (18),1,Holambra / Usar Pouco (22),1,
Holambra / Usar Pouco (22),1,Bom Futuro (23),1,
 @M (8),1,Da Serra (10),1,
Sem Etiqueta (18),1,Holambra / Usar Pouco (22),1,
