Bom Futuro (28),Bom Futuro (14),Bom Futuro (14),Bom Futuro (28),
2,2,2,2,
2,2,2,2,
Bom Futuro (28),Bom Futuro (28),Bom Futuro (28),Bom Futuro (28),
2,2,2,2,
2,2,2,2,
Bom Futuro (28),Bom Futuro (28),Bom Futuro (28),Bom Futuro (28),
2,2,2,2,
2,2,2,2,
Bom Futuro (28),Bom Futuro (28),Bom Futuro (28),Bom Futuro (14),
2,2,2,2,
2,2,2,2,
Bom Futuro (28),Bom Futuro (14),Bom Futuro (28),Bom Futuro (14),
2,2,2,2,
2,2,2,2,
Bom Futuro (34),1,Sem Etiqueta (18),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1,Recuperado (0),1,
Sem Etiqueta (18),1,Sem Etiqueta (18),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
Sem Etiqueta (18),1,Sem Etiqueta (18),1,
Sem Etiqueta (18),1,Da Serra (10),1,
Sem Etiqueta (18),1,Holambra / Usar Pouco (22),1,
Sem Etiqueta (18),1,Sem Etiqueta (18),1,
 @M (8),1, @M (8),1,
 @M (8),1,Holambra / Usar Pouco (22),1,
Bom Futuro (23),1,Cottonsul (25),1,
Holambra / Usar Pouco (22),1,Da Serra (10),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
Recuperado (0),1,Sem Etiqueta (18),1,
Cottonsul (25),1,Bom Futuro (23),1,
Holambra / Usar Pouco (22),1,Recuperado (0),1,
Recuperado (0),1,Cottonsul (25),1,
Cottonsul (25),1,Bom Futuro (23),1,
Bom Futuro (23),1,Cottonsul (25),1,
Sem Etiqueta (18),1,Sem Etiqueta (18),1,
 @M (8),1,Bom Futuro (23),1,
 @M (8),1,Bom Futuro (34),1,
 @M (8),1,Sem Etiqueta (18),1,
Holambra / Usar Pouco (22),1, @M (8),1,
Recuperado (0),1,Bom Futuro (23),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1,Bom Futuro (23),1,
 @M (8),1, @M (8),1,
Sem Etiqueta (18),1, @M (8),1,
Holambra / Usar Pouco (22),1,Da Serra (10),1,
Da Serra (10),1, @M (8),1,
Recuperado (0),1, @M (8),1,
Cottonsul (25),1,Sem Etiqueta (18),1,
 @M (8),1, @M (8),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Bom Futuro (23),1,Sem Etiqueta (18),1,
Cottonsul (25),1,Bom Futuro (34),1,
Holambra / Usar Pouco (22),1,Da Serra (10),1,
Sem Etiqueta (18),1,Holambra / Usar Pouco (22),1,
Sem Etiqueta (18),1,Cottonsul (25),1,
Recuperado (0),1, @M (8),1,
 @M (8),1,Sem Etiqueta (18),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Holambra / Usar Pouco (22),1,Da Serra (10),1,
Sem Etiqueta (18),1,Recuperado (0),1,
Bom Futuro (34),1,Sem Etiqueta (18),1,
Bom Futuro (34),1, @M (8),1,
 @M (8),1,Bom Futuro (23),1,
 @M (8),1,Da Serra (10),1,
Cottonsul (25),1, @M (8),1,
Cottonsul (25),1,Bom Futuro (23),1,
Cottonsul (25),1, @M (8),1,
 @M (8),1,Cottonsul (25),1,
Recuperado (0),1, @M (8),1,
Sem Etiqueta (18),1,Cottonsul (25),1,
Sem Etiqueta (18),1,Da Serra (10),1,
Da Serra (10),1,Sem Etiqueta (18),1,
 @M (8),1, @M (8),1,
 @M (8),1,Sem Etiqueta (18),1,
Sem Etiqueta (18),1, @M (8),1,
Sem Etiqueta (18),1, @M (8),1,
 @M (8),1,Sem Etiqueta (18),1,
 @M (8),1, @M (8),1,
Recuperado (0),1,Holambra / Usar Pouco (22),1,
